@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 


@DATA 
109550 , 3 , 2 , 71.3216171
425500 , 3 , 2 , 297.969177
435000 , 5 , 4 , 165.462158
272826 , 5 , 3 , 171.696671
127918 , 2 , 2 , 134.226654
227000 , 3 , 2 , 176.242233
319000 , 3 , 2 , 254.588989
229500 , 3 , 2 , 159.485748
378000 , 3 , 3 , 175.81395
444900 , 4 , 3 , 205.972229
364900 , 4 , 2 , 182.541275
439000 , 4 , 3 , 186.491074
440000 , 3 , 2 , 229.405624
365000 , 3 , 2 , 269.970428
329500 , 3 , 2 , 217.205017
339900 , 3 , 2 , 220.714279
59000 , 3 , 2 , 40.9722214
407000 , 4 , 3 , 178.508774
229000 , 3 , 2 , 212.037033
305000 , 4 , 2 , 197.923431
324900 , 4 , 2 , 214.455444
300000 , 3 , 2 , 272.727264
349900 , 4 , 2 , 210.024002
620000 , 4 , 3 , 309.226929
424000 , 3 , 2 , 198.316177
299000 , 3 , 2 , 227.203644
197000 , 2 , 2 , 181.734314
629000 , 5 , 3 , 313.715698
429900 , 4 , 2 , 299.581879
1165000 , 4 , 3 , 473.962585
352000 , 5 , 3 , 209.026123
895000 , 4 , 3 , 325.691406
394000 , 2 , 2 , 323.48111
525000 , 4 , 2 , 294.943817
552200 , 3 , 2 , 319.745209
785000 , 5 , 3 , 230.882355
780000 , 3 , 3 , 493.670898
678900 , 3 , 2 , 424.3125
650000 , 2 , 2 , 433.333344
779000 , 3 , 2 , 490.554169
589900 , 3 , 2 , 357.515137
439000 , 3 , 3 , 257.931854
679000 , 4 , 2 , 375.34549
689000 , 2 , 1 , 577.051941
599000 , 4 , 2 , 302.678131
509000 , 3 , 2 , 262.777496
634000 , 3 , 2 , 344.565216
1295000 , 3 , 2 , 674.479187
1350000 , 3 , 2 , 692.307678
880000 , 2 , 3 , 415.682556
3500000 , 4 , 3 , 1105.14685
899900 , 4 , 4 , 281.21875
1225000 , 3 , 4 , 375.076538
1140000 , 4 , 5 , 245.901642
3499000 , 4 , 6 , 507.690063
