@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 
@ATTRIBUTE income NUMERIC 


@DATA 
239000 , 3 , 1 , 888 , 269.144135 , 3.44000006 , 30857 , 27967
250000 , 3 , 1 , 1000 , 250 , 3.44000006 , 30857 , 27967
260000 , 2 , 1 , 990 , 262.626251 , 3.44000006 , 30857 , 27967
310000 , 2 , 1 , 1100 , 281.818176 , 3.44000006 , 30857 , 27967
350000 , 3 , 2 , 1088 , 321.691162 , 3.44000006 , 30857 , 27967
329900 , 3 , 2 , 1104 , 298.822449 , 3.44000006 , 30857 , 27967
315000 , 3 , 2 , 1176 , 267.857147 , 3.44000006 , 30857 , 27967
320000 , 3 , 2 , 1176 , 272.108856 , 3.44000006 , 30857 , 27967
324100 , 3 , 3 , 1152 , 281.336792 , 3.44000006 , 30857 , 27967
329000 , 3 , 2 , 1283 , 256.430237 , 3.44000006 , 30857 , 27967
225000 , 3 , 2 , 1240 , 181.451614 , 3.44000006 , 30857 , 27967
380000 , 4 , 2 , 1300 , 292.307678 , 3.44000006 , 30857 , 27967
369000 , 3 , 2 , 1316 , 280.395142 , 3.44000006 , 30857 , 27967
199000 , 2 , 1 , 1248 , 159.455124 , 3.44000006 , 30857 , 27967
378000 , 3 , 2 , 1300 , 290.769226 , 3.44000006 , 30857 , 27967
249000 , 3 , 2 , 1280 , 194.53125 , 3.44000006 , 30857 , 27967
310000 , 2 , 2 , 1248 , 248.39743 , 3.44000006 , 30857 , 27967
265000 , 3 , 3 , 1259 , 210.484512 , 3.44000006 , 30857 , 27967
459900 , 3 , 2 , 1294 , 355.409576 , 3.44000006 , 30857 , 27967
295000 , 3 , 2 , 1356 , 217.55162 , 3.44000006 , 30857 , 27967
399000 , 3 , 2 , 1288 , 309.782623 , 3.44000006 , 30857 , 27967
369500 , 3 , 2 , 1316 , 280.775085 , 3.44000006 , 30857 , 27967
282000 , 3 , 2 , 1351 , 208.734268 , 3.44000006 , 30857 , 27967
285000 , 2 , 2 , 1351 , 210.954849 , 3.44000006 , 30857 , 27967
239000 , 3 , 2 , 1354 , 176.514038 , 3.44000006 , 30857 , 27967
300000 , 3 , 2 , 1368 , 219.298248 , 3.44000006 , 30857 , 27967
324999 , 3 , 2 , 1372 , 236.87973 , 3.44000006 , 30857 , 27967
415000 , 3 , 2 , 1400 , 296.428558 , 3.44000006 , 30857 , 27967
324900 , 3 , 2 , 1404 , 231.410263 , 3.44000006 , 30857 , 27967
535000 , 3 , 2 , 1400 , 382.142853 , 3.44000006 , 30857 , 27967
399000 , 3 , 2 , 1440 , 277.083344 , 3.44000006 , 30857 , 27967
209900 , 3 , 2 , 1440 , 145.763885 , 3.44000006 , 30857 , 27967
425900 , 3 , 2 , 1470 , 289.727905 , 3.44000006 , 30857 , 27967
320000 , 3 , 2 , 1473 , 217.243713 , 3.44000006 , 30857 , 27967
397900 , 3 , 2 , 1481 , 268.66983 , 3.44000006 , 30857 , 27967
375000 , 3 , 2 , 1489 , 251.846878 , 3.44000006 , 30857 , 27967
344000 , 3 , 2 , 1536 , 223.958328 , 3.44000006 , 30857 , 27967
259000 , 3 , 2 , 1530 , 169.281052 , 3.44000006 , 30857 , 27967
370000 , 3 , 2 , 1556 , 237.7892 , 3.44000006 , 30857 , 27967
