@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE crime NUMERIC 


@DATA 
325000 , 3 , 1680 , 3.44000006
525000 , 3 , 1700 , 3.44000006
449000 , 3 , 1715 , 3.44000006
384000 , 3 , 1781 , 3.44000006
375000 , 3 , 1768 , 3.44000006
510000 , 4 , 1800 , 3.44000006
989000 , 3 , 1800 , 3.44000006
575000 , 4 , 1862 , 3.44000006
945000 , 3 , 1888 , 3.44000006
435000 , 4 , 1897 , 3.44000006
2490000 , 3 , 1876 , 3.44000006
450000 , 4 , 1900 , 3.44000006
444900 , 3 , 1890 , 3.44000006
579000 , 4 , 1949 , 3.44000006
425000 , 3 , 1953 , 3.44000006
469900 , 3 , 1970 , 3.44000006
410000 , 3 , 1992 , 3.44000006
399990 , 4 , 2000 , 3.44000006
439000 , 4 , 2053 , 3.44000006
895000 , 4 , 2025 , 3.44000006
399000 , 4 , 2088 , 3.44000006
410000 , 3 , 2096 , 3.44000006
465000 , 3 , 2114 , 3.44000006
770000 , 4 , 2136 , 3.44000006
379000 , 3 , 2140 , 3.44000006
509000 , 4 , 2144 , 3.44000006
499900 , 3 , 2151 , 3.44000006
435500 , 4 , 2171 , 3.44000006
452000 , 4 , 2200 , 3.44000006
535000 , 3 , 2189 , 3.44000006
565000 , 3 , 2231 , 3.44000006
825000 , 3 , 2278 , 3.44000006
559000 , 4 , 2310 , 3.44000006
549000 , 4 , 2349 , 3.44000006
615000 , 3 , 2392 , 3.44000006
529000 , 3 , 2457 , 3.44000006
525000 , 4 , 2498 , 3.44000006
885000 , 3 , 2499 , 3.44000006
639900 , 5 , 2721 , 3.44000006
825000 , 5 , 2764 , 3.44000006
564900 , 4 , 2807 , 3.44000006
485000 , 4 , 3046 , 3.44000006
620000 , 4 , 3068 , 3.44000006
1350000 , 4 , 3131 , 3.44000006
569000 , 5 , 3145 , 3.44000006
849000 , 4 , 3168 , 3.44000006
535000 , 5 , 3700 , 3.44000006
610000 , 2 , 624 , 3.04999995
675000 , 2 , 850 , 3.04999995
425000 , 2 , 1188 , 3.04999995
795000 , 3 , 1312 , 3.04999995
754000 , 3 , 1400 , 3.04999995
835000 , 2 , 1389 , 3.04999995
650000 , 2 , 1786 , 3.04999995
700000 , 3 , 1749 , 3.04999995
1400000 , 3 , 2000 , 3.04999995
799000 , 3 , 2028 , 3.04999995
1295000 , 3 , 2118 , 3.04999995
770000 , 3 , 2021 , 3.04999995
1279000 , 2 , 2218 , 3.04999995
774888 , 3 , 2107 , 3.04999995
824900 , 3 , 2647 , 3.04999995
949000 , 3 , 2535 , 3.04999995
1195000 , 3 , 2716 , 3.04999995
1599000 , 4 , 3900 , 3.04999995
309500 , 2 , 966 , 3.95000005
419000 , 2 , 958 , 3.95000005
550000 , 3 , 1160 , 3.95000005
459000 , 2 , 1193 , 3.95000005
225000 , 3 , 1284 , 3.95000005
155000 , 3 , 1368 , 3.95000005
599000 , 3 , 1400 , 3.95000005
759000 , 3 , 1400 , 3.95000005
728234 , 3 , 1500 , 3.95000005
509000 , 4 , 1542 , 3.95000005
599000 , 2 , 1657 , 3.95000005
439999 , 3 , 1658 , 3.95000005
499500 , 3 , 1742 , 3.95000005
734900 , 3 , 2100 , 3.95000005
1595000 , 3 , 3182 , 3.95000005
1499500 , 3 , 3589 , 3.95000005
1750000 , 5 , 4192 , 3.95000005
210000 , 3 , 900 , 4.03999996
598000 , 3 , 1186 , 4.03999996
625000 , 3 , 1186 , 4.03999996
588500 , 3 , 1200 , 4.03999996
319000 , 3 , 1356 , 4.03999996
598000 , 3 , 1356 , 4.03999996
320000 , 3 , 1451 , 4.03999996
645000 , 3 , 1493 , 4.03999996
299000 , 3 , 1503 , 4.03999996
439500 , 4 , 1600 , 4.03999996
479900 , 3 , 2048 , 4.03999996
469900 , 4 , 2400 , 4.03999996
699000 , 3 , 2890 , 4.03999996
779000 , 3 , 1749 , 1.13
1800000 , 4 , 2000 , 1.13
640000 , 3 , 2178 , 1.13
950000 , 5 , 2338 , 1.13
1695000 , 4 , 2684 , 1.13
387000 , 5 , 2400 , 2.94000006
279000 , 4 , 1369 , 2.94000006
375000 , 4 , 1900 , 4.92999983
52500 , 2 , 1152 , 4.92999983
545500 , 5 , 3140 , 4.92999983
394900 , 4 , 1719 , 4.92999983
259900 , 2 , 1078 , 4.92999983
390000 , 3 , 2381 , 4.92999983
319000 , 3 , 1442 , 4.92999983
319000 , 2 , 1300 , 4.92999983
35000 , 2 , 1140 , 4.92999983
449900 , 3 , 2082 , 4.92999983
323900 , 3 , 1253 , 4.92999983
359000 , 4 , 1460 , 4.92999983
289900 , 3 , 1400 , 4.92999983
415000 , 3 , 1773 , 4.92999983
365000 , 3 , 1325 , 4.92999983
337000 , 3 , 1337 , 4.92999983
430000 , 3 , 1619 , 4.92999983
337500 , 3 , 1124 , 4.92999983
335000 , 3 , 1190 , 4.92999983
468000 , 4 , 2107 , 4.92999983
379000 , 4 , 1316 , 4.92999983
388000 , 3 , 1258 , 4.92999983
525000 , 3 , 2300 , 4.92999983
344900 , 3 , 1786 , 4.92999983
425000 , 3 , 1603 , 4.92999983
189900 , 2 , 1100 , 4.92999983
459900 , 4 , 2352 , 4.92999983
349000 , 4 , 1288 , 4.92999983
559000 , 4 , 2569 , 4.92999983
585000 , 4 , 2606 , 4.92999983
499900 , 4 , 1966 , 4.92999983
405000 , 3 , 1852 , 4.92999983
359000 , 3 , 1546 , 4.92999983
473500 , 3 , 2151 , 4.92999983
409000 , 4 , 1878 , 4.92999983
379000 , 3 , 1245 , 4.92999983
33000 , 1 , 1000 , 4.92999983
388000 , 3 , 1832 , 4.92999983
155000 , 2 , 882 , 4.92999983
895000 , 3 , 1572 , 4.92999983
275000 , 3 , 1425 , 4.92999983
265000 , 3 , 1580 , 4.92999983
399900 , 4 , 2203 , 4.92999983
425000 , 3 , 1255 , 4.92999983
699000 , 2 , 1430 , 1.29999995
439900 , 4 , 2295 , 4.92999983
324500 , 2 , 1151 , 4.92999983
549000 , 4 , 2945 , 4.92999983
445000 , 3 , 1918 , 4.92999983
359900 , 4 , 1718 , 4.92999983
359000 , 3 , 1538 , 4.92999983
469000 , 4 , 2069 , 4.92999983
325000 , 3 , 1304 , 4.92999983
300900 , 3 , 1395 , 4.92999983
454999 , 4 , 2295 , 4.92999983
462990 , 2 , 1583 , 4.92999983
19900 , 2 , 1056 , 4.92999983
1190000 , 3 , 3971 , 4.92999983
750000 , 3 , 948 , 4.92999983
490000 , 5 , 2500 , 4.92999983
367990 , 3 , 1100 , 4.92999983
355000 , 4 , 1761 , 4.92999983
1150000 , 4 , 3750 , 4.92999983
694500 , 3 , 2432 , 4.92999983
569900 , 4 , 2576 , 4.92999983
42500 , 3 , 1563 , 4.92999983
429900 , 3 , 1552 , 4.92999983
210000 , 3 , 1491 , 4.92999983
310000 , 3 , 1157 , 4.92999983
359900 , 3 , 1642 , 4.92999983
347500 , 3 , 1544 , 4.92999983
644900 , 3 , 2980 , 4.92999983
323000 , 3 , 1952 , 4.92999983
375000 , 2 , 1805 , 4.92999983
349900 , 4 , 2495 , 4.92999983
241680 , 4 , 1469 , 4.92999983
354999 , 3 , 1921 , 4.92999983
299000 , 3 , 1080 , 4.92999983
300000 , 3 , 1053 , 4.92999983
389000 , 4 , 1747 , 4.92999983
225000 , 2 , 1034 , 4.92999983
259900 , 3 , 1064 , 4.92999983
