@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 
@ATTRIBUTE prc_college NUMERIC 


@DATA 
449000 , 3 , 3 , 1655 , 2.63000011 , 16714 , 24.8500004
474900 , 4 , 2 , 1600 , 2.63000011 , 16714 , 24.8500004
499000 , 3 , 2 , 1650 , 2.63000011 , 16714 , 24.8500004
419900 , 4 , 2 , 1638 , 2.63000011 , 16714 , 24.8500004
499000 , 3 , 2 , 1796 , 2.63000011 , 16714 , 24.8500004
499000 , 4 , 2 , 1838 , 2.63000011 , 16714 , 24.8500004
595000 , 3 , 3 , 1982 , 2.63000011 , 16714 , 24.8500004
569000 , 4 , 2 , 1933 , 2.63000011 , 16714 , 24.8500004
599900 , 4 , 2 , 1996 , 2.63000011 , 16714 , 24.8500004
775000 , 2 , 2 , 2005 , 2.63000011 , 16714 , 24.8500004
469000 , 4 , 2 , 2030 , 2.63000011 , 16714 , 24.8500004
399000 , 4 , 2 , 2144 , 2.63000011 , 16714 , 24.8500004
800000 , 4 , 2 , 2329 , 2.63000011 , 16714 , 24.8500004
1100000 , 3 , 3 , 2430 , 2.63000011 , 16714 , 24.8500004
799000 , 4 , 3 , 2544 , 2.63000011 , 16714 , 24.8500004
699000 , 7 , 5 , 2700 , 2.63000011 , 16714 , 24.8500004
924900 , 3 , 3 , 2846 , 2.63000011 , 16714 , 24.8500004
929000 , 5 , 3 , 3080 , 2.63000011 , 16714 , 24.8500004
699000 , 4 , 4 , 3289 , 2.63000011 , 16714 , 24.8500004
1199000 , 3 , 3 , 3645 , 2.63000011 , 16714 , 24.8500004
1188000 , 3 , 5 , 4556 , 2.63000011 , 16714 , 24.8500004
1479000 , 4 , 4 , 4962 , 2.63000011 , 16714 , 24.8500004
495000 , 2 , 1 , 800 , 5 , 7286 , 13.3800001
235000 , 2 , 2 , 900 , 5 , 7286 , 13.3800001
350000 , 2 , 1 , 989 , 5 , 7286 , 13.3800001
269900 , 2 , 2 , 974 , 5 , 7286 , 13.3800001
152000 , 3 , 2 , 1200 , 5 , 7286 , 13.3800001
350000 , 3 , 3 , 1244 , 5 , 7286 , 13.3800001
289900 , 2 , 1 , 1135 , 5 , 7286 , 13.3800001
450000 , 3 , 2 , 1484 , 5 , 7286 , 13.3800001
519900 , 3 , 3 , 1815 , 5 , 7286 , 13.3800001
979000 , 3 , 3 , 2040 , 5 , 7286 , 13.3800001
1500000 , 3 , 3 , 2500 , 5 , 7286 , 13.3800001
149000 , 1 , 2 , 400 , 3.44000006 , 30857 , 21.4200001
250000 , 2 , 1 , 883 , 3.44000006 , 30857 , 21.4200001
239000 , 3 , 1 , 888 , 3.44000006 , 30857 , 21.4200001
250000 , 3 , 1 , 1000 , 3.44000006 , 30857 , 21.4200001
260000 , 2 , 1 , 990 , 3.44000006 , 30857 , 21.4200001
310000 , 2 , 1 , 1100 , 3.44000006 , 30857 , 21.4200001
350000 , 3 , 2 , 1088 , 3.44000006 , 30857 , 21.4200001
329900 , 3 , 2 , 1104 , 3.44000006 , 30857 , 21.4200001
315000 , 3 , 2 , 1176 , 3.44000006 , 30857 , 21.4200001
320000 , 3 , 2 , 1176 , 3.44000006 , 30857 , 21.4200001
324100 , 3 , 3 , 1152 , 3.44000006 , 30857 , 21.4200001
329000 , 3 , 2 , 1283 , 3.44000006 , 30857 , 21.4200001
225000 , 3 , 2 , 1240 , 3.44000006 , 30857 , 21.4200001
380000 , 4 , 2 , 1300 , 3.44000006 , 30857 , 21.4200001
369000 , 3 , 2 , 1316 , 3.44000006 , 30857 , 21.4200001
199000 , 2 , 1 , 1248 , 3.44000006 , 30857 , 21.4200001
378000 , 3 , 2 , 1300 , 3.44000006 , 30857 , 21.4200001
249000 , 3 , 2 , 1280 , 3.44000006 , 30857 , 21.4200001
310000 , 2 , 2 , 1248 , 3.44000006 , 30857 , 21.4200001
265000 , 3 , 3 , 1259 , 3.44000006 , 30857 , 21.4200001
459900 , 3 , 2 , 1294 , 3.44000006 , 30857 , 21.4200001
295000 , 3 , 2 , 1356 , 3.44000006 , 30857 , 21.4200001
399000 , 3 , 2 , 1288 , 3.44000006 , 30857 , 21.4200001
369500 , 3 , 2 , 1316 , 3.44000006 , 30857 , 21.4200001
282000 , 3 , 2 , 1351 , 3.44000006 , 30857 , 21.4200001
285000 , 2 , 2 , 1351 , 3.44000006 , 30857 , 21.4200001
239000 , 3 , 2 , 1354 , 3.44000006 , 30857 , 21.4200001
300000 , 3 , 2 , 1368 , 3.44000006 , 30857 , 21.4200001
324999 , 3 , 2 , 1372 , 3.44000006 , 30857 , 21.4200001
415000 , 3 , 2 , 1400 , 3.44000006 , 30857 , 21.4200001
324900 , 3 , 2 , 1404 , 3.44000006 , 30857 , 21.4200001
535000 , 3 , 2 , 1400 , 3.44000006 , 30857 , 21.4200001
399000 , 3 , 2 , 1440 , 3.44000006 , 30857 , 21.4200001
209900 , 3 , 2 , 1440 , 3.44000006 , 30857 , 21.4200001
425900 , 3 , 2 , 1470 , 3.44000006 , 30857 , 21.4200001
320000 , 3 , 2 , 1473 , 3.44000006 , 30857 , 21.4200001
397900 , 3 , 2 , 1481 , 3.44000006 , 30857 , 21.4200001
375000 , 3 , 2 , 1489 , 3.44000006 , 30857 , 21.4200001
344000 , 3 , 2 , 1536 , 3.44000006 , 30857 , 21.4200001
259000 , 3 , 2 , 1530 , 3.44000006 , 30857 , 21.4200001
370000 , 3 , 2 , 1556 , 3.44000006 , 30857 , 21.4200001
400000 , 3 , 2 , 1620 , 3.44000006 , 30857 , 21.4200001
395000 , 3 , 2 , 1630 , 3.44000006 , 30857 , 21.4200001
400000 , 3 , 2 , 1640 , 3.44000006 , 30857 , 21.4200001
399000 , 3 , 2 , 1657 , 3.44000006 , 30857 , 21.4200001
367000 , 3 , 2 , 1664 , 3.44000006 , 30857 , 21.4200001
500000 , 3 , 2 , 1670 , 3.44000006 , 30857 , 21.4200001
405000 , 3 , 2 , 1698 , 3.44000006 , 30857 , 21.4200001
325000 , 3 , 2 , 1680 , 3.44000006 , 30857 , 21.4200001
525000 , 3 , 2 , 1700 , 3.44000006 , 30857 , 21.4200001
449000 , 3 , 2 , 1715 , 3.44000006 , 30857 , 21.4200001
384000 , 3 , 2 , 1781 , 3.44000006 , 30857 , 21.4200001
375000 , 3 , 2 , 1768 , 3.44000006 , 30857 , 21.4200001
510000 , 4 , 3 , 1800 , 3.44000006 , 30857 , 21.4200001
989000 , 3 , 2 , 1800 , 3.44000006 , 30857 , 21.4200001
575000 , 4 , 2 , 1862 , 3.44000006 , 30857 , 21.4200001
945000 , 3 , 3 , 1888 , 3.44000006 , 30857 , 21.4200001
435000 , 4 , 2 , 1897 , 3.44000006 , 30857 , 21.4200001
2490000 , 3 , 4 , 1876 , 3.44000006 , 30857 , 21.4200001
450000 , 4 , 3 , 1900 , 3.44000006 , 30857 , 21.4200001
444900 , 3 , 2 , 1890 , 3.44000006 , 30857 , 21.4200001
579000 , 4 , 2 , 1949 , 3.44000006 , 30857 , 21.4200001
425000 , 3 , 2 , 1953 , 3.44000006 , 30857 , 21.4200001
469900 , 3 , 2 , 1970 , 3.44000006 , 30857 , 21.4200001
410000 , 3 , 3 , 1992 , 3.44000006 , 30857 , 21.4200001
399990 , 4 , 3 , 2000 , 3.44000006 , 30857 , 21.4200001
439000 , 4 , 2 , 2053 , 3.44000006 , 30857 , 21.4200001
895000 , 4 , 2 , 2025 , 3.44000006 , 30857 , 21.4200001
399000 , 4 , 2 , 2088 , 3.44000006 , 30857 , 21.4200001
410000 , 3 , 2 , 2096 , 3.44000006 , 30857 , 21.4200001
465000 , 3 , 2 , 2114 , 3.44000006 , 30857 , 21.4200001
770000 , 4 , 2 , 2136 , 3.44000006 , 30857 , 21.4200001
379000 , 3 , 3 , 2140 , 3.44000006 , 30857 , 21.4200001
509000 , 4 , 2 , 2144 , 3.44000006 , 30857 , 21.4200001
499900 , 3 , 3 , 2151 , 3.44000006 , 30857 , 21.4200001
435500 , 4 , 2 , 2171 , 3.44000006 , 30857 , 21.4200001
452000 , 4 , 3 , 2200 , 3.44000006 , 30857 , 21.4200001
535000 , 3 , 3 , 2189 , 3.44000006 , 30857 , 21.4200001
